"外国人雇用の在留資格 早見表（2026年8月版）","","","","","","",""
"行政書士ナビ・ジャーナル（gyosei-navi.jp） — 2026-08-19版。一次情報: 入管庁 在留資格一覧表・資格外活動許可案内・特定技能運用要領（令和8年4月）、厚労省 外国人雇用状況届出ほか","","","","","","",""
"※本シートは一般的な情報提供であり、個別の法的助言ではありません。在留資格の可否は在留カード・指定書の原本と最新の一次情報でご確認ください。","","","","","","",""
"","","","","","","",""
"区分","在留資格","就労可否","就労できる範囲・条件","該当例","在留期間","採用時の確認ポイント","根拠"
"別表第一・一の表（就労資格）","外交","○（資格の範囲内）","外交使節団等の構成員としての活動","外国政府の大使・公使等","外交活動の期間","一般企業での雇用は想定外。雇用状況届出の対象外","入管法別表第一の一"
"別表第一・一の表（就労資格）","公用","○（資格の範囲内）","外国政府・国際機関の公務","大使館職員等","5年・3年・1年・3月・30日・15日","一般企業での雇用は想定外。雇用状況届出の対象外","入管法別表第一の一"
"別表第一・一の表（就労資格）","教授","○（資格の範囲内）","大学等での研究・研究指導・教育","大学教授等","5年・3年・1年・3月","民間での語学講師等は資格外活動の個別許可が必要","入管法別表第一の一"
"別表第一・一の表（就労資格）","芸術","○（資格の範囲内）","収入を伴う音楽・美術・文学等の芸術活動","作曲家・画家・著述家等","5年・3年・1年・3月","雇用契約による一般就労は不可","入管法別表第一の一"
"別表第一・一の表（就労資格）","宗教","○（資格の範囲内）","外国の宗教団体から派遣された宗教家の布教等","宣教師等","5年・3年・1年・3月","一般企業での就労は不可","入管法別表第一の一"
"別表第一・一の表（就労資格）","報道","○（資格の範囲内）","外国の報道機関との契約に基づく取材・報道","外国報道機関の記者・カメラマン","5年・3年・1年・3月","日本企業での雇用は不可","入管法別表第一の一"
"別表第一・二の表（就労資格・上陸基準あり）","高度専門職1号（イ・ロ・ハ）","○（指定機関での活動）","ポイント制。指定された機関での研究・専門業務・経営＋関連事業","ポイント制による高度人材","5年","指定書で機関を確認。転職時は再度の許可（変更）が必要","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","高度専門職2号","○（広範）","1号の活動＋教授・技人国・技能等ほぼ全ての就労活動","高度専門職1号から移行した者","無期限","在留期限なし。在留カードの有効期間満了日は確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","経営・管理","○（経営・管理業務）","事業の経営・管理（2025年10月16日〜資本金等3,000万円・常勤職員1人・日本語B2等の新基準）","企業の経営者・管理者","5年・3年・1年・6月・4月・3月","雇用する側になる資格。管理者として雇う場合は報酬が日本人同等以上か","入管法別表第一の二／基準省令（令和7年10月16日改正）"
"別表第一・二の表（就労資格・上陸基準あり）","法律・会計業務","○（有資格業務）","外国法事務弁護士・外国公認会計士等の業務","弁護士・公認会計士等","5年・3年・1年・3月","資格を要する業務に限る","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","医療","○（有資格業務）","医師・歯科医師・看護師等の医療業務","医師・看護師等","5年・3年・1年・3月","日本の免許の有無を確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","研究","○（研究業務）","機関との契約に基づく研究","政府機関・企業の研究者","5年・3年・1年・3月","研究以外の業務（営業等）は範囲外","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","教育","○（教育機関での教育）","小中高・専修学校等での語学教育等","中学・高校の語学教師等","5年・3年・1年・3月","民間語学学校は「技人国」。勤務先の種別を確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","技術・人文知識・国際業務","○（専門的業務）","自然科学・人文科学の知識を要する業務／外国文化に基盤を有する業務。学歴または実務経験＋日本人同等以上の報酬","エンジニア・通訳・デザイナー・マーケティング等","5年・3年・1年・3月","単純労働（ライン作業・接客）は原則不可。職務内容と専攻の関連性、転職時は就労資格証明書で事前確認","入管法別表第一の二／入管庁ガイドライン（令和8年4月改定）"
"別表第一・二の表（就労資格・上陸基準あり）","企業内転勤","○（転勤先での技人国業務）","海外事業所からの期間を定めた転勤","外国事業所からの転勤者","5年・3年・1年・3月","転勤元・転勤先の関係（本店・支店・関連会社）を確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","介護","○（介護業務）","介護福祉士資格を有する者の介護・介護指導","介護福祉士","5年・3年・1年・3月","介護福祉士登録の有無を確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","興行","○（興行活動）","演劇・演芸・スポーツ等の興行・芸能活動","俳優・歌手・プロ選手等","3年・1年・6月・3月・30日","飲食店での接客等は範囲外","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","技能","○（熟練技能業務）","産業上の特殊分野の熟練技能","外国料理の調理師・スポーツ指導者・パイロット等","5年・3年・1年・3月","実務経験年数（例：調理師10年）を確認","入管法別表第一の二"
"別表第一・二の表（就労資格・上陸基準あり）","特定技能1号","○（指定分野・指定機関）","19の特定産業分野のうち指定分野・指定機関での業務。技能試験＋日本語試験（技能実習2号修了者は免除）。通算5年","介護・建設・外食等の即戦力人材","法務大臣が個々に指定（3年を超えない範囲）","指定書で分野・機関を確認。転職は変更許可が必要。支援計画・定期届出義務","入管法別表第一の二／特定技能運用要領（令和8年4月）"
"別表第一・二の表（就労資格・上陸基準あり）","特定技能2号","○（指定分野・指定機関）","11分野の熟練技能。更新無制限・家族帯同可","特定技能2号評価試験合格者等","3年・2年・1年・6月","指定書で分野・機関を確認。支援義務なし","入管法別表第一の二／特定技能運用要領（令和8年4月）"
"別表第一・二の表（就労資格・上陸基準あり）","技能実習（1号〜3号）","○（認定計画の範囲）","認定を受けた技能実習計画に基づく業務のみ。2027年4月1日から育成就労へ移行","技能実習生","法務大臣が個々に指定（1号1年／2・3号2年以内）","計画外の業務・職種変更は不可。監理団体経由。アルバイト（資格外活動）不可","入管法別表第一の二／技能実習法／育成就労法（2027年4月施行）"
"別表第一・三の表（非就労資格）","文化活動","×（原則不可）","収入を伴わない学術・芸術活動。資格外活動許可があれば可","日本文化の研究者等","3年・1年・6月・3月","在留カード裏面の資格外活動許可欄を確認","入管法別表第一の三／19条"
"別表第一・三の表（非就労資格）","短期滞在","×（不可）","観光・商用・親族訪問等。資格外活動許可も原則認められない","観光客・会議参加者等","90日・30日・15日以内","アルバイトを含め一切の就労不可。在留カードなし（旅券の上陸許可証印で確認）","入管法別表第一の三"
"別表第一・四の表（非就労資格・上陸基準あり）","留学","△（資格外活動許可で可）","包括許可で1週28時間以内（長期休業期間は1日8時間以内）。風俗営業等は不可。在籍中に限る","大学・専門学校・日本語学校等の学生","法務大臣が個々に指定（4年3月を超えない範囲）","資格外活動許可の有無・掛け持ち合算・在籍状況（卒業後は不可）","入管法別表第一の四／施行規則19条5項"
"別表第一・四の表（非就労資格・上陸基準あり）","研修","×（原則不可）","技能等の修得活動。報酬を受ける就労は不可","研修生","1年・6月・3月","実務作業を伴う場合は技能実習・育成就労との区別に注意","入管法別表第一の四"
"別表第一・四の表（非就労資格・上陸基準あり）","家族滞在","△（資格外活動許可で可）","包括許可で1週28時間以内。風俗営業等は不可。長期休業の特例なし","就労資格者・留学生の配偶者・子","法務大臣が個々に指定（5年を超えない範囲）","資格外活動許可の有無・掛け持ち合算。フルタイム雇用は就労資格への変更が必要","入管法別表第一の四／施行規則19条5項"
"別表第一・五の表","特定活動","△（指定書による）","法務大臣が個々に指定する活動。ワーキングホリデー・EPA看護師等候補者・特定活動46号（大卒者）・継続就職活動など類型により就労可否が異なる","ワーホリ・EPA候補者・特定活動46号等","5年・3年・1年・6月・3月・個々に指定（5年以内）","旅券に貼付された指定書の活動内容を必ず確認。継続就職活動は資格外活動許可で週28時間","入管法別表第一の五"
"別表第二（居住資格）","永住者","○（制限なし）","就労活動に制限なし","永住許可を受けた者","無期限","在留カードの有効期間（7年ごと更新）は確認。雇用状況届出は必要","入管法別表第二"
"別表第二（居住資格）","日本人の配偶者等","○（制限なし）","就労活動に制限なし","日本人の配偶者・子・特別養子","5年・3年・1年・6月","在留期限を確認。離婚・死別は14日以内の届出義務、6か月以上配偶者としての活動がないと取消し対象","入管法別表第二"
"別表第二（居住資格）","永住者の配偶者等","○（制限なし）","就労活動に制限なし","永住者・特別永住者の配偶者、本邦出生の子","5年・3年・1年・6月","在留期限を確認","入管法別表第二"
"別表第二（居住資格）","定住者","○（制限なし）","就労活動に制限なし","日系3世・中国残留邦人等","5年・3年・1年・6月・個々に指定（5年以内）","在留期限を確認","入管法別表第二"
"特例法","特別永住者","○（制限なし）","就労活動に制限なし。在留カードではなく特別永住者証明書","在日韓国・朝鮮人等","無期限","外国人雇用状況届出の対象外","入管特例法／労働施策総合推進法28条"
